x,y,region
2276,2488,IT
2308,2468,IT
2306,2391,IT
2304,2315,IT
2301,2200,IT
2267,2182,IT
2266,2144,IT
2232,2125,IT
2231,2087,IT
2163,2051,IT
2129,2033,IT
2062,1996,IT
1994,1960,IT
1960,1942,IT
1959,1903,IT
1891,1867,IT
1824,1831,IT
1756,1794,IT
1722,1776,IT
1688,1758,IT
1655,1740,IT
1622,1760,IT
1588,1742,IT
1554,1724,IT
1487,1687,IT
1419,1651,IT
1385,1633,IT
1352,1653,IT
1318,1635,IT
1251,1598,IT
1218,1618,IT
1185,1638,IT
1151,1620,IT
1118,1602,IT
1085,1622,IT
1051,1604,IT
1017,1586,IT
983,1568,IT
950,1549,IT
916,1531,IT
882,1513,IT
881,1475,IT
813,1438,IT
812,1400,IT
744,1364,IT
677,1327,IT
643,1309,IT
610,1329,IT
576,1311,IT
511,1351,IT
577,1349,IT
578,1388,IT
580,1426,IT
613,1444,IT
614,1482,IT
616,1521,IT
617,1559,IT
584,1579,IT
618,1597,IT
619,1635,IT
653,1654,IT
654,1692,IT
688,1710,IT
689,1748,IT
723,1766,IT
724,1805,IT
691,1825,IT
725,1843,IT
726,1881,IT
760,1899,IT
761,1938,IT
762,1976,IT
762,1994,IT
797,2032,IT
603,2229,IT
636,2248,IT
636,2286,IT
671,2304,IT
739,2340,IT
740,2379,IT
842,2433,IT
875,2451,IT
909,2470,IT
943,2488,IT
1045,2542,IT
1078,2560,IT
1111,2540,IT
1145,2559,IT
1179,2577,IT
1212,2557,IT
1245,2575,IT
1278,2555,IT
1312,2573,IT
1311,2535,IT
1344,2515,IT
1377,2533,IT
1411,2551,IT
1412,2589,IT
1446,2607,IT
1479,2587,IT
1513,2606,IT
1547,2624,IT
1612,2584,IT
1680,2620,IT
1679,2582,IT
1745,2580,IT
1779,2598,IT
1846,2596,IT
1911,2556,IT
1945,2574,IT
1978,2554,IT
1977,2516,IT
2042,2476,IT
2075,2455,IT
2109,2474,IT
2141,2454,IT
2209,2490,IT
2242,2470,IT
2276,2488,IT
