x,y,region
1634,607,leading_edge
1688,638,leading_edge
1689,700,leading_edge
1743,731,leading_edge
1798,761,leading_edge
1852,792,leading_edge
1853,854,leading_edge
1907,884,leading_edge
1961,915,leading_edge
2016,946,leading_edge
2288,1098,leading_edge
2342,1129,leading_edge
2396,1159,leading_edge
2450,1128,leading_edge
2504,1158,leading_edge
2559,1189,leading_edge
2613,1219,leading_edge
2667,1250,leading_edge
2722,1280,leading_edge
2776,1311,leading_edge
2831,1341,leading_edge
2885,1372,leading_edge
2939,1340,leading_edge
2993,1371,leading_edge
3101,1370,leading_edge
3156,1400,leading_edge
3209,1369,leading_edge
3264,1399,leading_edge
3318,1430,leading_edge
3372,1460,leading_edge
3480,1459,leading_edge
3589,1458,leading_edge
3642,1427,leading_edge
3969,1395,leading_edge
3750,1364,leading_edge
3804,1332,leading_edge
3803,1270,leading_edge
3857,1238,leading_edge
3856,1176,leading_edge
3802,1208,leading_edge
3748,1177,leading_edge
3694,1209,leading_edge
3640,1178,leading_edge
3586,1210,leading_edge
3532,1179,leading_edge
3478,1211,leading_edge
3370,1212,leading_edge
3316,1181,leading_edge
3262,1213,leading_edge
3207,1182,leading_edge
3153,1152,leading_edge
3045,1153,leading_edge
2937,1154,leading_edge
2829,1155,leading_edge
2721,1156,leading_edge
2666,1126,leading_edge
2558,1127,leading_edge
2450,1128,leading_edge
2396,1097,leading_edge
2286,912,leading_edge
2394,911,leading_edge
2448,941,leading_edge
2502,910,leading_edge
2556,940,leading_edge
2610,909,leading_edge
2664,939,leading_edge
2718,908,leading_edge
2773,938,leading_edge
2827,969,leading_edge
2881,937,leading_edge
2935,968,leading_edge
2989,936,leading_edge
3043,967,leading_edge
3151,966,leading_edge
3260,1027,leading_edge
3314,1057,leading_edge
3367,963,leading_edge
3476,962,leading_edge
3530,993,leading_edge
3638,992,leading_edge
3746,991,leading_edge
3854,990,leading_edge
3962,989,leading_edge
4125,1080,leading_edge
4016,957,leading_edge
4016,895,leading_edge
4069,863,leading_edge
4069,801,leading_edge
4122,770,leading_edge
4177,800,leading_edge
4231,831,leading_edge
4232,893,leading_edge
4286,861,leading_edge
4339,830,leading_edge
4285,799,leading_edge
4231,769,leading_edge
4176,738,leading_edge
4176,676,leading_edge
4121,645,leading_edge
4067,615,leading_edge
4013,584,leading_edge
3958,554,leading_edge
3850,555,leading_edge
3796,586,leading_edge
3742,556,leading_edge
3688,587,leading_edge
3634,557,leading_edge
3580,588,leading_edge
3526,558,leading_edge
3472,590,leading_edge
3418,559,leading_edge
3364,591,leading_edge
3309,560,leading_edge
3256,592,leading_edge
3201,561,leading_edge
3093,562,leading_edge
3040,594,leading_edge
2985,563,leading_edge
2931,595,leading_edge
2877,564,leading_edge
2769,565,leading_edge
2661,566,leading_edge
2553,567,leading_edge
2445,569,leading_edge
2336,570,leading_edge
2228,571,leading_edge
2120,572,leading_edge
2012,573,leading_edge
1904,574,leading_edge
1796,575,leading_edge
1688,576,leading_edge
1634,607,leading_edge
