x,y,region
2368,2237,leading_edge
2442,2281,leading_edge
2517,2324,leading_edge
2592,2367,leading_edge
2667,2410,leading_edge
2742,2453,leading_edge
2892,2453,leading_edge
2967,2496,leading_edge
3041,2540,leading_edge
3116,2583,leading_edge
3191,2712,leading_edge
3266,2755,leading_edge
3341,2798,leading_edge
3416,2841,leading_edge
3490,2884,leading_edge
3640,2885,leading_edge
3715,2928,leading_edge
3790,2885,leading_edge
3865,2928,leading_edge
3940,2971,leading_edge
4014,3014,leading_edge
4014,3100,leading_edge
4164,3100,leading_edge
4239,3144,leading_edge
4314,3187,leading_edge
4389,3230,leading_edge
4464,3273,leading_edge
4613,3273,leading_edge
4688,3316,leading_edge
4763,3273,leading_edge
4838,3230,leading_edge
4913,3360,leading_edge
4988,3403,leading_edge
5063,3446,leading_edge
5137,3403,leading_edge
5137,3489,leading_edge
5212,3446,leading_edge
5212,3360,leading_edge
5213,3274,leading_edge
5213,3188,leading_edge
5138,3058,leading_edge
5138,2972,leading_edge
5063,2929,leading_edge
4988,2886,leading_edge
4913,2843,leading_edge
4839,2714,leading_edge
4764,2585,leading_edge
4689,2541,leading_edge
4614,2584,leading_edge
4539,2541,leading_edge
4464,2498,leading_edge
4390,2455,leading_edge
4315,2412,leading_edge
4240,2369,leading_edge
4165,2326,leading_edge
4090,2282,leading_edge
4015,2239,leading_edge
3941,2196,leading_edge
3866,2153,leading_edge
3791,2110,leading_edge
3716,2153,leading_edge
3641,2110,leading_edge
3566,2067,leading_edge
3491,2110,leading_edge
3416,2066,leading_edge
3342,2023,leading_edge
3267,1980,leading_edge
3192,2023,leading_edge
3117,1980,leading_edge
3042,1937,leading_edge
2967,1980,leading_edge
2892,1937,leading_edge
2817,1980,leading_edge
2742,1937,leading_edge
2668,1980,leading_edge
2593,1936,leading_edge
2518,1979,leading_edge
2443,2022,leading_edge
2368,2065,leading_edge
2368,2151,leading_edge
2368,2237,leading_edge
